artist,국적,활동유형,활동장르,데뷔(곡),멤버
NCT 127,대한민국,"남성, 그룹","댄스, R&B/Soul, 랩/힙합",2016.07.07,"태용 (TAEYONG) , 재현 (JAEHYUN) , 윈윈 (WINWIN) , 해찬 (HAECHAN) , 유타 (YUTA) , 도영 (DOYOUNG) , 쟈니 (JOHNNY) , 정우 (JUNGWOO)"
화곡동 청개구리,대한민국,"남성, 솔로",발라드,2024.06,
하은 (포맨),대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2018.09.14,
에이치코드 (H:CODE),대한민국,"남성, 솔로","발라드, 인디음악",2016.02.26,
이우,대한민국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2018.10.27,
식케이 (Sik-K),대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 댄스",2015.08.07,
권진아,대한민국,"여성, 솔로","발라드, 국내드라마, R&B/Soul",2016.09.19,
NS 윤지,대한민국,"여성, 솔로","댄스, R&B/Soul, 발라드",2009.09,
정준일,대한민국,"남성, 솔로","발라드, 인디음악, 록/메탈",2011.11.23,
21학번,대한민국,"여성, 솔로","발라드, 인디음악, 국내드라마",2021.04.12,
디핵 (D-Hack),대한민국,"남성, 솔로","랩/힙합, 인디음악, 록/메탈",2016.07.26,
하현우 (국카스텐),대한민국,"남성, 솔로","록/메탈, 국내드라마, 발라드",2018.10.28,
태일 (TAEIL),대한민국,"남성, 솔로","국내드라마, 발라드, 록/메탈",2016.01.27,
안세하,대한민국,"남성, 솔로","발라드, 국내드라마",2019.12.03,
노을,대한민국,"남성, 그룹","발라드, 국내드라마, R&B/Soul",2002.12.16,"이상곤 (노을) , 전우성 (노을) , 강균성 (노을) , 나성호 (노을)"
지민,대한민국,"남성, 솔로","댄스, R&B/Soul, 랩/힙합",2013.06,
권순일 (어반자카파),대한민국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2009,
에이프릴 (APRIL),대한민국,"여성, 그룹","댄스, 국내드라마, 발라드",2015.08.24,"윤채경 , 김채원 , 이나은 (에이프릴) , 양예나 (에이프릴) , 레이첼 (성나연) , 이진솔"
케이윌,대한민국,"남성, 솔로","발라드, 국내드라마, 댄스",2007.03.06,
자우림,대한민국,"혼성, 그룹","록/메탈, 발라드, 댄스",1997.11.01,"김윤아 , 이선규 , 김진만"
RM,대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 댄스",2018.10.23,
WINNER,대한민국,"남성, 그룹","댄스, 발라드, 랩/힙합",2014.08.17,"강승윤 , JINU (김진우) , MINO (송민호) , 이승훈"
김승민,대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 발라드",2018.06.08,
MSG워너비,대한민국,"남성, 그룹","발라드, 댄스",2021.06.26,"별루지 , 김정수 , 강창모 , 정기석 , 이동휘 , 이상이 , 박재정 , 원슈타인"
리사 (LISA),일본,"여성, 솔로","J-POP, 애니메이션/웹툰, 월드뮤직",2011.04.20,
장범준,대한민국,"남성, 솔로","록/메탈, 국내드라마, 포크/블루스",2014.08.19,
Khundi Panda,대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 록/메탈",2019.12.08,
어반자카파,대한민국,"혼성, 그룹","발라드, R&B/Soul, 국내드라마",2009.07.02,"조현아 (어반자카파) , 권순일 (어반자카파) , 박용인 (어반자카파)"
나연 (TWICE),대한민국,"여성, 솔로","R&B/Soul, 댄스, 애니메이션/웹툰",2022.06.24,
에일리(Ailee),대한민국,"여성, 솔로","발라드, 댄스, 국내드라마",2012.02.09,
딘딘 (DINDIN),대한민국,"남성, 솔로","랩/힙합, 국내드라마, 발라드",2014.08.29,
KOONTA (쿤타),대한민국,"남성, 솔로","랩/힙합, 인디음악, 국내드라마",2006.09.21,
전소미,대한민국,"여성, 솔로","댄스, R&B/Soul, 발라드",2019.06.13,
