year,week,week_start,week_end,rank,title,artist,album,like_cnt
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,60,METEOR,창모 (CHANGMO),Boyhood,312715
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,61,어푸 (Ah puh),아이유,IU 5th Album 'LILAC',142443
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,62,Life Goes On,방탄소년단,BE,245658
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,63,상상더하기,라붐 (LABOUM),Fresh Adventure,138016
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,64,그대라는 사치,임영웅,사랑의 콜센타 PART62,45503
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,65,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",134401
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,66,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,132062
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,67,신촌을 못가,허각,신촌을 못가,13675
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,68,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,156309
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,69,사실 나는 (Feat.전건호),경서예지,사실 나는,106922
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,70,고백,10CM,두 번째 '고백',70336
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,71,빨간 립스틱 (Feat. 윤미래),이하이,4 ONLY,32825
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,72,밤새 니가 내려,케이시 (Kassy),밤새 니가 내려,14533
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,73,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,70620
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,74,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,206777
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,75,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,54152
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,76,찬란한 계절,폴킴,찬란한 계절,30873
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,77,전화 한 번 못하니,신예영,전화 한 번 못하니 (너에게 하고 싶은 말 X 신예영),30583
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,78,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,82382
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,79,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special,42391
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,80,산책,백예린 (Yerin Baek),선물,129815
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,81,너의 모습,정동하,너의 모습,24200
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,82,HERO,임영웅,HERO,78168
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,83,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8,77160
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,84,내 기억 속에 남아 있는 그대 모습은,산들,갯마을 차차차 OST Part 6,32209
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,85,잊었니,임영웅,사랑의 콜센타 PART60,44710
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,86,Cold Blooded,제시 (Jessi),Cold Blooded,29660
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,87,끝사랑,임영웅,사랑의 콜센타 PART61,41542
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,88,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),166872
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,89,너 하나야 (낮에 뜨는 달 X 길구봉구),길구봉구,너 하나야 (낮에 뜨는 달 X 길구봉구),17054
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,90,Sticker,NCT 127,Sticker - The 3rd Album,91001
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,91,Bk Love,임영웅,뽕숭아학당 PART23,38801
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,92,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI),쇼미더머니 9 Episode 1,222711
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,93,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,227390
2021,2021.10.11 ~ 2021.10.17,2021.10.11,2021.10.17,94,해운대,순순희,해운대,22910
